lat=43 47.49948 N, lon=069 58.06861 W, hms=122202, dmy=040821, t1=17.913700, c1=4.115620, s=31.048500, sigma=22.270100
lat=43 47.49743 N, lon=069 58.07100 W, hms=122203, dmy=040821, t1=17.902400, c1=4.115420, s=31.055400, sigma=22.278000
lat=43 47.49323 N, lon=069 58.07569 W, hms=122205, dmy=040821, t1=17.906800, c1=4.115240, s=31.050500, sigma=22.273200
lat=43 47.49114 N, lon=069 58.07808 W, hms=122206, dmy=040821, t1=17.898600, c1=4.115020, s=31.054900, sigma=22.278600
lat=43 47.48694 N, lon=069 58.08291 W, hms=122208, dmy=040821, t1=17.896900, c1=4.114860, s=31.054900, sigma=22.278900
lat=43 47.48481 N, lon=069 58.08530 W, hms=122209, dmy=040821, t1=17.896900, c1=4.114630, s=31.052900, sigma=22.277500
lat=43 47.48268 N, lon=069 58.08764 W, hms=122210, dmy=040821, t1=17.896900, c1=4.114440, s=31.051400, sigma=22.276200
lat=43 47.47837 N, lon=069 58.09229 W, hms=122212, dmy=040821, t1=17.896900, c1=4.114240, s=31.049700, sigma=22.275000
lat=43 47.47622 N, lon=069 58.09468 W, hms=122213, dmy=040821, t1=17.887200, c1=4.114090, s=31.055800, sigma=22.281900
lat=43 47.47411 N, lon=069 58.09705 W, hms=122214, dmy=040821, t1=17.884600, c1=4.113920, s=31.056300, sigma=22.283000
lat=43 47.46984 N, lon=069 58.10150 W, hms=122216, dmy=040821, t1=17.887800, c1=4.113740, s=31.052400, sigma=22.279100
lat=43 47.46765 N, lon=069 58.10380 W, hms=122217, dmy=040821, t1=17.880300, c1=4.113580, s=31.056700, sigma=22.284400
lat=43 47.46548 N, lon=069 58.10601 W, hms=122218, dmy=040821, t1=17.874600, c1=4.113420, s=31.059700, sigma=22.288000
lat=43 47.46109 N, lon=069 58.11043 W, hms=122220, dmy=040821, t1=17.868300, c1=4.113270, s=31.063200, sigma=22.292100
lat=43 47.45891 N, lon=069 58.11269 W, hms=122221, dmy=040821, t1=17.867800, c1=4.113210, s=31.063200, sigma=22.292200
lat=43 47.45452 N, lon=069 58.11714 W, hms=122223, dmy=040821, t1=17.868900, c1=4.113110, s=31.061400, sigma=22.290500
lat=43 47.45232 N, lon=069 58.11936 W, hms=122224, dmy=040821, t1=17.867200, c1=4.112990, s=31.061700, sigma=22.291300
lat=43 47.45014 N, lon=069 58.12159 W, hms=122225, dmy=040821, t1=17.860000, c1=4.112910, s=31.066500, sigma=22.296600
lat=43 47.44575 N, lon=069 58.12600 W, hms=122227, dmy=040821, t1=17.857200, c1=4.112810, s=31.067800, sigma=22.298300
lat=43 47.44354 N, lon=069 58.12819 W, hms=122228, dmy=040821, t1=17.852000, c1=4.112740, s=31.071200, sigma=22.302200
lat=43 47.44131 N, lon=069 58.13033 W, hms=122229, dmy=040821, t1=17.843400, c1=4.112620, s=31.076700, sigma=22.308400
lat=43 47.43688 N, lon=069 58.13451 W, hms=122231, dmy=040821, t1=17.848300, c1=4.112580, s=31.072600, sigma=22.304100
lat=43 47.43466 N, lon=069 58.13658 W, hms=122232, dmy=040821, t1=17.840900, c1=4.112500, s=31.077600, sigma=22.309700
lat=43 47.43020 N, lon=069 58.14071 W, hms=122234, dmy=040821, t1=17.831900, c1=4.112430, s=31.083900, sigma=22.316600
lat=43 47.42795 N, lon=069 58.14277 W, hms=122235, dmy=040821, t1=17.838700, c1=4.112390, s=31.078300, sigma=22.310800
lat=43 47.42570 N, lon=069 58.14489 W, hms=122236, dmy=040821, t1=17.838200, c1=4.112400, s=31.078900, sigma=22.311300
lat=43 47.42126 N, lon=069 58.14898 W, hms=122238, dmy=040821, t1=17.835700, c1=4.112360, s=31.080400, sigma=22.313100
lat=43 47.41904 N, lon=069 58.15106 W, hms=122239, dmy=040821, t1=17.824900, c1=4.112300, s=31.088200, sigma=22.321700
lat=43 47.41681 N, lon=069 58.15303 W, hms=122240, dmy=040821, t1=17.822500, c1=4.112320, s=31.090100, sigma=22.323600
lat=43 47.41236 N, lon=069 58.15671 W, hms=122242, dmy=040821, t1=17.822900, c1=4.112340, s=31.090000, sigma=22.323400
