Sensor 0052 - site1
Site 1
date [EST]	lu 412 [uW/cm^2/nm/sr]	lu 442 [uW/cm^2/nm/sr]	lu 490 [uW/cm^2/nm/sr]	lu 510 [uW/cm^2/nm/sr]	lu 555 [uW/cm^2/nm/sr]	lu 664 [uW/cm^2/nm/sr]	lu 669 [uW/cm^2/nm/sr]
2014-05-18 17:30:00	0.004934	0.018673	0.073405	0.099011	0.155230	0.020984	0.020305
2014-05-18 18:00:00	0.001747	0.008991	0.036174	0.047206	0.066318	0.005709	0.005364
2014-05-18 18:30:00	-0.001078	0.001075	0.010268	0.013353	0.017346	-0.001725	-0.001960
2014-05-19 19:00:00	-0.002133	-0.002704	-0.001926	-0.002043	-0.002876	-0.004737	-0.004622
2014-05-19 19:30:00	-0.002174	-0.002755	-0.002359	-0.002638	-0.003437	-0.004859	-0.004620
2014-05-19 20:00:00	-0.002488	-0.002840	-0.002513	-0.002572	-0.003475	-0.004982	-0.005065
2014-05-19 20:30:00	-0.002359	-0.002852	-0.002475	-0.002467	-0.003456	-0.004800	-0.004519
2014-05-19 21:00:00	-0.002314	-0.002626	-0.002398	-0.002544	-0.003325	-0.004552	-0.004871
2014-05-19 21:30:00	-0.002458	-0.002813	-0.002552	-0.002680	-0.003494	-0.005157	-0.004990
2014-05-19 22:00:00	-0.002366	-0.002721	-0.002359	-0.002572	-0.003468	-0.004785	-0.004922
2014-05-19 22:30:00	-0.002243	-0.002862	-0.002432	-0.002610	-0.003550	-0.004886	-0.004518
2014-05-19 23:00:00	-0.002521	-0.002775	-0.002536	-0.002669	-0.003720	-0.005196	-0.005155
2014-05-19 23:30:00	-0.002274	-0.002678	-0.002486	-0.002573	-0.003598	-0.004729	-0.004886
2014-05-20 00:00:00	-0.00231	-0.002501	-0.002396	-0.002587	-0.003474	-0.004707	-0.004787
2014-05-20 00:30:00	-0.002528	-0.002846	-0.002472	-0.002731	-0.003574	-0.005161	-0.005054
2014-05-20 01:00:00	-0.002432	-0.002889	-0.002614	-0.002644	-0.003532	-0.005099	-0.004958
2014-05-20 01:30:00	-0.002290	-0.002746	-0.002446	-0.002558	-0.003465	-0.004964	-0.004693
2014-05-20 02:00:00	-0.002384	-0.002816	-0.002547	-0.002676	-0.003691	-0.004997	-0.004996
2014-05-20 02:30:00	-0.002189	-0.002741	-0.002406	-0.002569	-0.003492	-0.004753	-0.004880
2014-05-20 03:00:00	-0.002254	-0.002637	-0.002366	-0.002532	-0.003479	-0.004828	-0.004753
2014-05-20 03:30:00	-0.002334	-0.002870	-0.002596	-0.002674	-0.003590	-0.004978	-0.005005
2014-05-20 04:00:00	-0.001980	-0.002034	-0.000810	-0.000824	-0.001855	-0.004551	-0.004530
2014-05-20 04:30:00	-0.000897	0.000988	0.008010	0.009657	0.010759	-0.002719	-0.002735
2014-05-20 05:00:00	0.000476	0.005426	0.023522	0.029566	0.040072	0.001274	0.001181
2014-05-20 05:30:00	0.004106	0.014387	0.049480	0.061709	0.084795	0.007901	0.007567
2014-05-20 06:00:00	0.008021	0.024466	0.078933	0.098578	0.135941	0.014349	0.013627
2014-05-20 06:30:00	0.024013	0.068496	0.220684	0.280856	0.408894	0.061024	0.059237
2014-05-20 07:00:00	0.024677	0.068530	0.210158	0.267121	0.380502	0.055024	0.053661
2014-05-20 07:30:00	0.053849	0.146066	0.435794	0.548555	0.776629	0.116958	0.112217
2014-05-20 08:00:00	0.028345	0.077461	0.234134	0.300210	0.434362	0.059720	0.057841
2014-05-20 08:30:00	0.041764	0.110820	0.327495	0.415212	0.598516	0.085202	0.081827
2014-05-20 09:00:00	0.042175	0.114513	0.345030	0.440801	0.643463	0.087417	0.084699
2014-05-20 09:30:00	0.080110	0.213473	0.602150	0.752219	1.061800	0.170087	0.162361
2014-05-20 10:00:00	0.052449	0.147069	0.440124	0.557015	0.780785	0.115259	0.110258
2014-05-20 10:30:00	0.040549	0.110021	0.320522	0.403356	0.558392	0.080446	0.077884
2014-05-20 11:00:00	0.043502	0.115314	0.328516	0.413818	0.577256	0.081679	0.078839
2014-05-20 11:30:00	0.063708	0.161695	0.444581	0.548696	0.749056	0.110840	0.106088
2014-05-20 12:00:00	0.030536	0.078868	0.222709	0.278795	0.384279	0.053019	0.051433
2014-05-20 12:30:00	0.053293	0.138708	0.393620	0.490053	0.677901	0.096017	0.092466
2014-05-20 13:00:00	0.039185	0.101963	0.294162	0.367514	0.511904	0.069488	0.067527
2014-05-20 13:30:00	0.036597	0.093427	0.270512	0.33518	0.475559	0.064157	0.062005
2014-05-20 14:00:00	0.03888	0.099360	0.293726	0.369809	0.538134	0.071791	0.070562
2014-05-20 14:30:00	0.028310	0.070102	0.199049	0.248637	0.353544	0.047042	0.046544
2014-05-20 15:00:00	0.019783	0.048824	0.142995	0.179715	0.258975	0.031454	0.030950
2014-05-20 15:30:00	0.001010	0.005408	0.022245	0.028797	0.042950	0.000827	0.000812
2014-05-20 16:00:00	0.003882	0.012462	0.042309	0.053794	0.078604	0.005445	0.005524
2014-05-20 16:30:00	0.004298	0.013093	0.044224	0.055765	0.081359	0.006293	0.006060
2014-05-20 17:00:00	0.000917	0.005478	0.021694	0.027438	0.039010	0.000557	0.000573
2014-05-20 17:30:00	-0.000951	0.000929	0.008318	0.010846	0.015189	-0.002826	-0.002714
2014-05-20 18:00:00	-0.001089	0.000962	0.008041	0.010173	0.013505	-0.002529	-0.002640
2014-05-20 18:30:00	-0.002117	-0.001938	0.000462	0.000871	0.000829	-0.004518	-0.004146
2014-05-21 19:00:00	-0.002111	-0.002475	-0.001585	-0.001380	-0.001908	-0.004669	-0.004575
2014-05-21 19:30:00	-0.002267	-0.002688	-0.002374	-0.002488	-0.003280	-0.004799	-0.004599
2014-05-21 20:00:00	-0.002220	-0.002739	-0.002513	-0.002539	-0.003308	-0.004952	-0.004564
