Sensor 0052 - site1
Site 1
date [EST]	es 412 [uW/cm^2/nm]	es 442 [uW/cm^2/nm]	es 490 [uW/cm^2/nm]	es 510 [uW/cm^2/nm]	es 555 [uW/cm^2/nm]	es 664 [uW/cm^2/nm]	es 669 [uW/cm^2/nm]
2015-04-24 04:00:00	0.010491	-0.019718	0.00507	-0.011618	-0.003786	0.016947	-0.020444
2015-04-24 05:00:00	3.444931	3.679788	3.549707	3.028283	2.162544	1.849481	1.856905
2015-04-24 06:00:00	11.007702	11.925152	12.314693	11.341127	9.918447	8.376988	8.509565
2015-04-24 07:00:00	25.100819	28.411914	31.105023	29.517572	27.711042	23.740854	24.070988
2015-04-24 08:00:00	28.684714	32.278468	35.158289	33.380581	31.606763	26.463691	26.864655
2015-04-24 09:00:00	124.226597	145.790775	165.017113	159.464118	155.362588	134.963909	137.444544
2015-04-24 10:00:00	121.737779	140.380647	155.109432	150.003825	144.38731	123.668456	125.570405
2015-04-24 11:00:00	134.482653	155.139579	171.012377	165.506916	159.392773	137.370733	138.959929
2015-04-24 12:00:00	127.418247	146.055333	159.735722	154.32337	148.073327	127.353742	128.514918
2015-04-24 13:00:00	116.587472	133.635154	146.625251	141.725427	135.327237	116.295144	117.456663
2015-04-24 14:00:00	97.821097	112.436977	124.246339	119.822378	113.851729	98.214446	99.373244
2015-04-24 15:00:00	80.490677	93.691439	104.79418	100.911206	95.631974	83.784764	85.003087
2015-04-24 16:00:00	60.074753	72.313967	83.459491	80.73066	77.025082	70.394785	71.814397
2015-04-24 17:00:00	14.894866	16.575791	17.527295	16.195616	14.386024	12.430071	12.789412
2015-04-24 18:00:00	4.596363	5.512608	6.520546	5.523807	4.607112	4.92266	6.593674
2015-04-24 19:00:00	0.019177	-0.011066	0.011539	-0.005187	-3.5E-5	0.020513	-0.01591
2015-04-24 20:00:00	0.01043	-0.021154	0.003296	-0.011957	-0.004057	0.017509	-0.019833
2015-04-24 21:00:00	0.010534	-0.021367	0.003674	-0.012427	-0.004719	0.01737	-0.020805
2015-04-24 22:00:00	0.011537	-0.021103	0.003527	-0.012119	-0.004186	0.017183	-0.020664
2015-04-24 23:00:00	0.010707	-0.021888	0.003831	-0.01207	-0.004857	0.017693	-0.021457
2015-04-25 00:00:00	0.010454	-0.020281	0.003415	-0.011415	-0.005323	0.017256	-0.022345
2015-04-25 01:00:00	0.011054	-0.023216	0.004356	-0.012247	-0.00497	0.017689	-0.021134
2015-04-25 02:00:00	0.011257	-0.022009	0.003326	-0.011959	-0.005483	0.017683	-0.021523
2015-04-25 03:00:00	0.01039	-0.022112	0.003942	-0.013034	-0.004733	0.017066	-0.02148
